,Unnamed: 0,title,year,language,time,rate,people
288,288,八月,2016,汉语普通话,110分钟,7.1,31982
272,272,爱情麻辣烫,1997,汉语普通话,109 分钟,7.5,28104
68,68,我爱你,2003,汉语普通话,97 分钟,7.1,27813
260,260,此间的少年,2010,汉语普通话,168分钟(导演剪辑版),7.5,26616
215,215,昨天,2001,汉语普通话,114 分钟,8.5,25269
200,200,爱情的牙齿,2006,汉语普通话,109分钟,7.7,25174
134,134,少年巴比伦,2015,汉语普通话,96分钟,6.8,24590
13,13,本命年,1990,汉语普通话,108分钟,8.3,23148
130,130,高考1977,2009,汉语普通话,112分钟,7.2,22851
154,154,蓝色骨头,2013,汉语普通话,100分钟,6.8,22492
100,100,红河,2009,汉语普通话 / 越南语,103分钟,7.2,20168
125,125,十三棵泡桐,2006,汉语普通话 / 四川话,100分钟(东京电影节),7.1,20108
2,2,蛋炒饭,2011,汉语普通话,92分钟,6.9,20006
34,34,那时花开,2002,汉语普通话,90分钟,7,18880
241,241,二子开店,1987,汉语普通话,100分钟,7.6,17800
73,73,阿司匹林,2006,汉语普通话,92分钟,7.2,15886
131,131,草莓百分百 草莓100%,2011,汉语普通话,115分钟,6.9,15255
74,74,不能说的夏天 寒蟬效應,2014,汉语普通话,110分钟,6.9,14560
59,59,暖,2003,汉语普通话,109分钟,7.9,13584
31,31,情不自禁,2001,汉语普通话,92分钟,8.4,12997
206,206,我心雀跃,2016,汉语普通话,96分钟,6.7,12660
15,15,向日葵,2005,汉语普通话 / 英语,129分钟,7.6,11085
104,104,PK.COM.CN,2008,汉语普通话,90分钟,7.1,10665
171,171,花腰新娘,2005,汉语普通话,87分钟,6.7,10643
159,159,边城,1984,汉语普通话,95分钟,8,10259
92,92,芳香之旅,2006,汉语普通话,114分钟,7,8880
280,280,电影往事,2004,汉语普通话,93分钟,7.8,8799
19,19,星游记之风暴法米拉,2017,汉语普通话,69分钟,7.5,8670
231,231,红颜,2005,汉语普通话 / 四川话,86分钟,7.9,8600
75,75,精灵王座,2016,汉语普通话 / 英语,104分钟,7.8,8446
66,66,长大成人,1997,汉语普通话,102分钟,7.9,8365
144,144,我的九月,1990,汉语普通话,88分钟,8.8,7866
113,113,秋之白华,2011,汉语普通话 / 俄语,98分钟,6.7,7830
237,237,鸳鸯蝴蝶,2004,汉语普通话,110分钟,7.2,6922
250,250,警察有约,2003,汉语普通话,98分钟,7.5,6650
167,167,这里有情况,2011,大连话,131分钟,7.3,6647
98,98,花季·雨季,1997,汉语普通话,90分钟,6.9,6059
